"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GOType"
"GO:0006928","GO:0006928","movement of cell or subcellular component","34/4485","55/17306",2.11773287684494e-08,1.21134320555531e-05,1.0577518421715e-05,"Os01g0243100/Os01g0260100/Os01g0513900/Os01g0605500/Os01g0805900/Os02g0167300/Os02g0645100/Os02g0742900/Os02g0775400/Os02g0810200/Os03g0105600/Os03g0114000/Os03g0219300/Os03g0301800/Os03g0587200/Os03g0726100/Os04g0350300/Os04g0375900/Os04g0467901/Os04g0629700/Os05g0117798/Os05g0397900/Os05g0459400/Os06g0554700/Os07g0574800/Os08g0117000/Os08g0547500/Os08g0558400/Os10g0512800/Os11g0552600/Os11g0648100/Os12g0547500/Os12g0590500/Os12g0616000",34,"BP"
"GO:0007018","GO:0007018","microtubule-based movement","34/4485","55/17306",2.11773287684494e-08,1.21134320555531e-05,1.0577518421715e-05,"Os01g0243100/Os01g0260100/Os01g0513900/Os01g0605500/Os01g0805900/Os02g0167300/Os02g0645100/Os02g0742900/Os02g0775400/Os02g0810200/Os03g0105600/Os03g0114000/Os03g0219300/Os03g0301800/Os03g0587200/Os03g0726100/Os04g0350300/Os04g0375900/Os04g0467901/Os04g0629700/Os05g0117798/Os05g0397900/Os05g0459400/Os06g0554700/Os07g0574800/Os08g0117000/Os08g0547500/Os08g0558400/Os10g0512800/Os11g0552600/Os11g0648100/Os12g0547500/Os12g0590500/Os12g0616000",34,"BP"
"GO:0015979","GO:0015979","photosynthesis","40/4485","72/17306",8.61064741464653e-08,3.28352688078521e-05,2.86719452508756e-05,"Os01g0279100/Os01g0501800/Os01g0805300/Os01g0934400/Os01g0938100/Os02g0197600/Os02g0578400/Os02g0638300/Os02g0744900/Os02g0764500/Os03g0279950/Os03g0343900/Os03g0731100/Os03g0778100/Os04g0434900/Os04g0473150/Os04g0523000/Os06g0132400/Os07g0105600/Os07g0141400/Os07g0147500/Os07g0147550/Os07g0148900/Os07g0275100/Os07g0435300/Os07g0544800/Os07g0556200/Os07g0558400/Os07g0673550/Os08g0119800/Os08g0504500/Os08g0560900/Os09g0346500/Os09g0439500/Os09g0481200/Os12g0189400/Os12g0190200/Os12g0271700/Os12g0420400/Os12g0564400",40,"BP"
"GO:0006629","GO:0006629","lipid metabolic process","171/4485","480/17306",1.18033439061421e-06,0.000232789521651326,0.000203273146896493,"Os01g0150000/Os01g0166700/Os01g0172400/Os01g0214200/Os01g0214800/Os01g0215500/Os01g0216000/Os01g0248701/Os01g0253900/Os01g0329900/Os01g0331100/Os01g0521400/Os01g0529800/Os01g0650000/Os01g0651300/Os01g0651800/Os01g0695300/Os01g0710700/Os01g0728100/Os01g0748500/Os01g0762000/Os01g0763600/Os01g0796400/Os01g0802100/Os01g0832100/Os01g0867600/Os01g0887100/Os01g0900200/Os01g0919900/Os01g0962200/Os02g0107200/Os02g0109100/Os02g0119800/Os02g0129900/Os02g0189300/Os02g0274100/Os02g0588500/Os02g0589000/Os02g0589100/Os02g0589700/Os02g0589900/Os02g0590200/Os02g0590400/Os02g0617400/Os02g0638300/Os02g0639600/Os02g0716500/Os02g0740400/Os02g0745700/Os02g0767200/Os02g0814200/Os03g0125100/Os03g0181500/Os03g0185500/Os03g0192700/Os03g0203200/Os03g0223900/Os03g0232800/Os03g0245700/Os03g0297400/Os03g0310000/Os03g0356582/Os03g0365900/Os03g0382100/Os03g0404800/Os03g0405000/Os03g0423300/Os03g0581400/Os03g0603600/Os03g0683800/Os03g0701800/Os03g0730000/Os03g0747100/Os03g0780800/Os03g0810900/Os03g0844600/Os03g0856300/Os03g0859100/Os04g0116800/Os04g0394100/Os04g0430200/Os04g0445700/Os04g0448900/Os04g0472300/Os04g0576800/Os04g0615100/Os04g0643300/Os04g0657500/Os04g0689300/Os04g0691900/Os05g0110300/Os05g0127200/Os05g0137400/Os05g0180600/Os05g0209600/Os05g0377000/Os05g0408900/Os05g0506600/Os05g0518300/Os05g0534500/Os05g0543400/Os05g0557900/Os05g0561500/Os05g0574600/Os05g0578500/Os06g0142900/Os06g0148200/Os06g0156600/Os06g0204400/Os06g0256300/Os06g0259000/Os06g0351500/Os06g0354500/Os06g0531900/Os06g0604200/Os06g0604300/Os06g0604400/Os06g0636700/Os06g0677000/Os07g0206700/Os07g0416900/Os07g0417200/Os07g0481200/Os07g0546000/Os07g0586100/Os07g0616200/Os07g0658700/Os07g0693800/Os07g0694000/Os08g0104700/Os08g0112900/Os08g0199400/Os08g0225000/Os08g0428900/Os08g0440900/Os08g0450800/Os08g0476900/Os08g0477100/Os08g0477500/Os08g0512700/Os08g0544900/Os09g0132200/Os09g0132900/Os09g0338500/Os09g0360500/Os09g0423600/Os09g0444200/Os09g0513100/Os09g0535900/Os09g0539800/Os09g0543100/Os10g0363300/Os10g0393800/Os10g0394000/Os10g0463200/Os10g0471100/Os10g0472900/Os10g0533500/Os11g0104400/Os11g0112800/Os11g0521500/Os11g0546300/Os11g0605500/Os11g0614500/Os11g0658900/Os11g0708400/Os12g0104400/Os12g0112200/Os12g0271700/Os12g0534200/Os12g0628400",171,"BP"
"GO:0006261","GO:0006261","DNA-dependent DNA replication","13/4485","15/17306",1.42441140870567e-06,0.000232789521651326,0.000203273146896493,"Os01g0544450/Os02g0762200/Os02g0797400/Os04g0680700/Os05g0160800/Os05g0235800/Os05g0358200/Os05g0476200/Os07g0406800/Os11g0128400/Os11g0484300/Os12g0124700/Os12g0560700",13,"BP"
"GO:0019752","GO:0019752","carboxylic acid metabolic process","173/4485","499/17306",6.78550663077682e-06,0.000752813144040223,0.000657360759748042,"Os01g0100900/Os01g0101200/Os01g0120300/Os01g0153400/Os01g0188400/Os01g0192900/Os01g0225400/Os01g0500900/Os01g0529800/Os01g0649100/Os01g0652600/Os01g0660300/Os01g0743400/Os01g0743500/Os01g0760600/Os01g0764600/Os01g0796400/Os01g0814800/Os01g0848200/Os01g0905800/Os01g0919900/Os01g0940100/Os01g0978100/Os02g0151600/Os02g0168100/Os02g0170100/Os02g0183900/Os02g0196800/Os02g0274100/Os02g0436400/Os02g0440000/Os02g0541325/Os02g0564000/Os02g0623500/Os02g0638300/Os02g0639600/Os02g0650900/Os02g0709200/Os02g0714200/Os02g0739600/Os02g0745700/Os02g0754700/Os02g0778200/Os02g0814200/Os03g0117000/Os03g0118600/Os03g0125100/Os03g0126000/Os03g0181500/Os03g0183600/Os03g0195100/Os03g0209600/Os03g0231600/Os03g0245700/Os03g0248600/Os03g0286200/Os03g0291500/Os03g0297400/Os03g0299900/Os03g0382100/Os03g0423300/Os03g0672300/Os03g0738400/Os03g0760700/Os03g0773800/Os03g0780800/Os03g0815200/Os03g0850400/Os03g0856300/Os04g0116800/Os04g0119400/Os04g0445700/Os04g0448900/Os04g0469500/Os04g0486950/Os04g0518400/Os04g0543900/Os04g0623800/Os04g0636300/Os04g0643300/Os04g0659100/Os04g0662700/Os04g0669900/Os05g0150800/Os05g0377000/Os05g0405000/Os05g0427400/Os05g0429000/Os05g0455500/Os05g0496200/Os05g0524400/Os05g0573700/Os05g0574400/Os05g0574600/Os06g0103300/Os06g0103600/Os06g0104900/Os06g0105400/Os06g0131300/Os06g0134800/Os06g0136600/Os06g0151900/Os06g0245800/Os06g0246500/Os06g0258900/Os06g0326400/Os06g0345200/Os06g0354500/Os06g0564500/Os06g0564700/Os06g0608700/Os06g0655100/Os06g0668200/Os06g0677400/Os06g0699700/Os07g0108300/Os07g0163500/Os07g0165000/Os07g0182100/Os07g0300900/Os07g0437500/Os07g0485400/Os07g0529000/Os07g0616200/Os07g0658400/Os08g0120600/Os08g0135900/Os08g0140300/Os08g0140500/Os08g0199400/Os08g0225000/Os08g0320400/Os08g0345700/Os08g0439000/Os08g0465800/Os08g0511900/Os08g0540100/Os08g0562100/Os09g0294000/Os09g0327300/Os09g0360500/Os09g0375000/Os09g0433900/Os09g0446800/Os09g0453800/Os09g0539800/Os09g0556500/Os10g0363300/Os10g0471100/Os10g0472900/Os10g0478200/Os10g0503200/Os10g0506200/Os10g0516100/Os10g0533500/Os10g0549500/Os11g0142500/Os11g0148500/Os11g0216000/Os11g0455800/Os11g0521500/Os11g0552000/Os11g0605500/Os11g0644800/Os12g0138900/Os12g0446900/Os12g0533700/Os12g0534200/Os12g0623900/Os12g0624000/Os12g0625000/Os12g0628400/Os12g0632700",173,"BP"
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process","74/4485","181/17306",7.23858792346368e-06,0.000752813144040223,0.000657360759748042,"Os01g0192900/Os01g0225400/Os01g0529800/Os01g0660300/Os01g0796400/Os01g0905800/Os01g0919900/Os01g0940100/Os02g0274100/Os02g0638300/Os02g0639600/Os02g0714200/Os02g0739600/Os02g0745700/Os02g0814200/Os03g0125100/Os03g0181500/Os03g0183600/Os03g0245700/Os03g0248600/Os03g0291500/Os03g0297400/Os03g0382100/Os03g0423300/Os03g0672300/Os03g0780800/Os03g0856300/Os04g0116800/Os04g0119400/Os04g0445700/Os04g0448900/Os04g0469500/Os04g0486950/Os04g0643300/Os05g0377000/Os05g0405000/Os05g0496200/Os05g0524400/Os05g0574600/Os06g0104900/Os06g0105400/Os06g0136600/Os06g0151900/Os06g0246500/Os06g0326400/Os06g0345200/Os06g0354500/Os06g0608700/Os06g0668200/Os07g0108300/Os07g0616200/Os08g0120600/Os08g0199400/Os08g0225000/Os08g0345700/Os08g0439000/Os08g0540100/Os09g0360500/Os09g0375000/Os09g0433900/Os09g0453800/Os09g0539800/Os10g0363300/Os10g0471100/Os10g0472900/Os10g0533500/Os11g0148500/Os11g0216000/Os11g0521500/Os11g0552000/Os11g0605500/Os11g0644800/Os12g0534200/Os12g0628400",74,"BP"
"GO:0006260","GO:0006260","DNA replication","34/4485","67/17306",1.16360151334766e-05,0.00109014502446479,0.00095192089456854,"Os01g0204000/Os01g0544450/Os01g0683400/Os01g0868300/Os02g0511900/Os02g0511901/Os02g0762200/Os02g0797400/Os02g0805200/Os03g0128500/Os03g0214100/Os03g0759500/Os04g0433800/Os04g0588200/Os04g0680700/Os05g0160800/Os05g0235800/Os05g0358200/Os05g0476200/Os06g0168600/Os06g0218500/Os06g0671700/Os07g0406800/Os07g0628600/Os07g0681600/Os09g0520100/Os09g0539400/Os10g0402200/Os11g0128400/Os11g0186400/Os11g0484300/Os12g0124700/Os12g0209300/Os12g0560700",34,"BP"
"GO:0007017","GO:0007017","microtubule-based process","37/4485","79/17306",4.81601065177483e-05,0.00324089187390024,0.00282996539228131,"Os01g0243100/Os01g0260100/Os01g0513900/Os01g0605500/Os01g0805900/Os02g0167300/Os02g0269200/Os02g0645100/Os02g0742900/Os02g0775400/Os02g0810200/Os03g0105600/Os03g0114000/Os03g0219300/Os03g0301800/Os03g0587200/Os03g0661300/Os03g0726100/Os04g0350300/Os04g0375900/Os04g0467901/Os04g0629700/Os04g0665400/Os05g0117798/Os05g0397900/Os05g0459400/Os06g0554700/Os07g0574800/Os08g0117000/Os08g0547500/Os08g0558400/Os10g0512800/Os11g0552600/Os11g0648100/Os12g0547500/Os12g0590500/Os12g0616000",37,"BP"
"GO:0006979","GO:0006979","response to oxidative stress","62/4485","156/17306",0.000102830651245958,0.00525748317770601,0.00459086449727917,"Os01g0172600/Os01g0205900/Os01g0270300/Os01g0294500/Os01g0294700/Os01g0378100/Os01g0962700/Os02g0236600/Os02g0240100/Os02g0240300/Os02g0664000/Os02g0833900/Os03g0121200/Os03g0121300/Os03g0131200/Os03g0285700/Os03g0339300/Os03g0339400/Os03g0358100/Os03g0368900/Os03g0369600/Os03g0434800/Os04g0556300/Os04g0602100/Os04g0656800/Os04g0688300/Os04g0689000/Os05g0134400/Os05g0134800/Os05g0135500/Os05g0499300/Os05g0499400/Os06g0274800/Os06g0521500/Os06g0546500/Os06g0547400/Os06g0681600/Os06g0695200/Os06g0695300/Os06g0695400/Os06g0695500/Os06g0727200/Os07g0639400/Os07g0657900/Os07g0677200/Os07g0677300/Os07g0677400/Os07g0677500/Os07g0677600/Os08g0302000/Os08g0522400/Os08g0549100/Os09g0471100/Os09g0538600/Os10g0109600/Os10g0536700/Os11g0112200/Os11g0661600/Os12g0111800/Os12g0191500/Os12g0448900/Os12g0530100",62,"BP"
"GO:0016052","GO:0016052","carbohydrate catabolic process","33/4485","75/17306",0.000509377161023029,0.0224125950850133,0.0195708067129901,"Os01g0660300/Os01g0905800/Os01g0940100/Os02g0129600/Os02g0714200/Os02g0739600/Os03g0141200/Os03g0248600/Os03g0330200/Os03g0351300/Os03g0672300/Os04g0119400/Os04g0469500/Os05g0482700/Os05g0496200/Os05g0524400/Os06g0104900/Os06g0136600/Os06g0151900/Os06g0246500/Os06g0326400/Os06g0608700/Os06g0668200/Os07g0108800/Os07g0543100/Os07g0543300/Os08g0120600/Os08g0345700/Os08g0439000/Os09g0375000/Os10g0465700/Os11g0148500/Os11g0216000",33,"BP"
"GO:0044262","GO:0044262","cellular carbohydrate metabolic process","61/4485","163/17306",0.000766375404839164,0.0324716097457779,0.0283543960698778,"Os01g0300200/Os01g0649100/Os01g0750300/Os01g0763600/Os02g0232400/Os02g0528200/Os02g0588500/Os02g0661100/Os02g0678400/Os02g0744700/Os02g0790500/Os02g0832500/Os03g0108300/Os03g0192700/Os03g0239000/Os03g0340500/Os03g0386500/Os03g0401300/Os03g0603600/Os03g0735000/Os03g0773800/Os03g0808100/Os03g0837100/Os03g0854600/Os04g0394100/Os04g0429600/Os04g0472300/Os04g0486950/Os04g0608100/Os05g0176100/Os05g0187100/Os05g0561500/Os05g0574400/Os06g0104900/Os06g0160700/Os06g0335900/Os06g0696600/Os06g0697000/Os06g0726400/Os06g0728800/Os07g0208500/Os07g0252400/Os07g0424400/Os07g0480800/Os07g0604800/Os08g0160500/Os08g0301500/Os08g0345800/Os08g0409100/Os08g0445700/Os09g0376800/Os09g0397300/Os09g0478100/Os09g0478300/Os10g0341700/Os10g0467800/Os10g0521000/Os10g0545500/Os11g0539200/Os12g0555600/Os12g0632700",61,"BP"
"GO:0005976","GO:0005976","polysaccharide metabolic process","41/4485","101/17306",0.000873638931606467,0.0326294004436868,0.0284921798132672,"Os01g0750300/Os02g0129600/Os02g0528200/Os02g0678400/Os02g0744700/Os02g0832500/Os03g0108300/Os03g0141200/Os03g0239000/Os03g0351300/Os03g0735000/Os03g0808100/Os03g0837100/Os03g0854600/Os04g0429600/Os05g0176100/Os05g0561500/Os06g0160700/Os06g0335900/Os06g0696600/Os06g0697000/Os06g0726400/Os06g0728800/Os07g0108800/Os07g0208500/Os07g0252400/Os07g0424400/Os07g0480800/Os07g0543100/Os07g0543300/Os07g0604800/Os08g0160500/Os08g0345800/Os09g0478100/Os09g0478300/Os10g0341700/Os10g0465700/Os10g0467800/Os10g0545500/Os11g0539200/Os12g0555600",41,"BP"
"GO:0072330","GO:0072330","monocarboxylic acid biosynthetic process","40/4485","98/17306",0.000884188298736267,0.0326294004436868,0.0284921798132672,"Os01g0192900/Os01g0225400/Os01g0529800/Os02g0638300/Os02g0639600/Os02g0745700/Os02g0814200/Os03g0125100/Os03g0181500/Os03g0183600/Os03g0245700/Os03g0291500/Os03g0297400/Os03g0382100/Os03g0780800/Os03g0856300/Os04g0116800/Os04g0445700/Os04g0448900/Os04g0643300/Os05g0377000/Os05g0574600/Os06g0345200/Os07g0108300/Os07g0616200/Os08g0225000/Os08g0540100/Os09g0360500/Os09g0433900/Os09g0453800/Os09g0539800/Os10g0363300/Os10g0471100/Os10g0472900/Os10g0533500/Os11g0521500/Os11g0552000/Os11g0644800/Os12g0534200/Os12g0628400",40,"BP"
